identificatie,obstacle_area
0772100000297414,12.803522109985352
0772100000293562,7.747255325317383
0772100000293563,7.481534004211426
0772100000293564,14.381444931030273
0772100000293565,14.204578399658203
0772100000293566,12.819265365600586
0772100000293567,9.2650785446167
0772100000297596,6.968883514404297
0772100000297597,8.578548431396484
0772100000297598,9.692405700683594
0772100000297599,10.985674858093262
0772100000297600,14.180740356445312
0772100000297601,18.128795623779297
0772100000297602,17.559913635253906
0772100000297603,14.937966346740723
0772100000295738,8.47178840637207
0772100000295739,35.869564056396484
0772100000297765,52.517845153808594
0772100000296471,12.422127723693848
0772100000302908,13.647520065307617
0772100000302909,10.396238327026367
0772100000302910,12.3463716506958
0772100000302911,6.314295291900635
0772100000302912,8.759115219116211
0772100000302913,11.294252395629883
0772100000302914,11.314325332641602
0772100000302915,8.91775894165039
0772100000302916,8.169181823730469
0772100000302917,18.84483528137207
0772100000296758,4.441909313201904
0772100000296759,6.316720008850098
0772100000296760,9.12391185760498
0772100000296761,5.9871110916137695
0772100000296762,2.729837417602539
0772100000296763,5.835463523864746
0772100000296854,6.5994720458984375
0772100000296999,58.20946502685547
0772100001002375,17.016345977783203
0772100001002376,10.491296768188477
0772100001002377,27.160869598388672
0772100001000734,100.72785949707031
0772100001000755,12.104899406433105
0772100001000765,9.915580749511719
0772100001000768,9.366157531738281
0772100001000771,10.371376037597656
0772100001000775,14.635159492492676
0772100001000776,25.309839248657227
0772100001000777,18.779197692871094
0772100001000778,20.30919647216797
0772100001000779,22.063344955444336
