identificatie,obstacle_area
0772100000297414,4.139708518981934
0772100000293562,6.682028293609619
0772100000293563,6.907649993896484
0772100000293564,14.605636596679688
0772100000293565,14.396512031555176
0772100000293566,12.875120162963867
0772100000293567,14.676719665527344
0772100000297596,5.543237686157227
0772100000297597,5.886146068572998
0772100000297598,6.661200523376465
0772100000297599,13.411182403564453
0772100000297600,11.515080451965332
0772100000297601,16.698261260986328
0772100000297602,9.097635269165039
0772100000297603,15.045538902282715
0772100000295738,6.944488525390625
0772100000295739,34.63874816894531
0772100000297765,59.49352264404297
0772100000296471,7.925544738769531
0772100000302908,3.87787127494812
0772100000302909,6.120170593261719
0772100000302910,9.86633586883545
0772100000302911,2.9220738410949707
0772100000302912,10.545042991638184
0772100000302913,11.906179428100586
0772100000302914,10.12321949005127
0772100000302915,9.438468933105469
0772100000302916,12.864045143127441
0772100000302917,12.034810066223145
0772100000296758,3.945716142654419
0772100000296759,5.43670654296875
0772100000296760,8.611340522766113
0772100000296761,4.341203212738037
0772100000296762,9.951983451843262
0772100000296763,5.840774059295654
0772100000296854,5.59913969039917
0772100000296999,32.05409622192383
0772100001002375,16.410125732421875
0772100001002376,5.061115264892578
0772100001002377,20.354610443115234
0772100001000734,67.47276306152344
0772100001000755,7.280091285705566
0772100001000765,9.091567993164062
0772100001000768,7.993204116821289
0772100001000771,8.087512969970703
0772100001000775,10.973895072937012
0772100001000776,7.7789225578308105
0772100001000777,6.623147010803223
0772100001000778,10.856769561767578
0772100001000779,14.482054710388184
