x y z obstacle 
85395.3 446935.0 7.421 23
85395.0 446935.0 7.495 23
85395.1 446935.0 7.412 23
85395.0 446935.0 7.411 23
85394.7 446935.0 7.495 23
85394.7 446935.0 7.5 23
85394.8 446935.0 7.485 23
85393.1 446935.0 7.437 23
85393.3 446935.0 7.472 23
85393.3 446935.0 7.456 23
85395.4 446934.0 7.439 23
85395.8 446934.0 7.439 23
85395.7 446934.0 7.474 23
85395.3 446934.0 7.492 23
85392.8 446935.0 7.454 23
85396.1 446934.0 7.418 23
85396.2 446934.0 7.486 23
85396.2 446934.0 7.42 23
85389.3 446936.0 8.323 24
85395.9 446932.0 5.033 25
85396.3 446932.0 5.025 25
85396.6 446932.0 5.08 25
85396.8 446932.0 5.042 25
85396.9 446932.0 4.986 25
85396.8 446932.0 4.738 25
85396.9 446932.0 5.144 25
85396.5 446932.0 4.99 25
85396.4 446932.0 4.71 25
85396.0 446932.0 4.981 25
85395.9 446932.0 4.725 25
85395.4 446932.0 4.737 25
85397.5 446934.0 7.439 25
85397.8 446934.0 7.475 25
85397.5 446934.0 7.486 25
85397.5 446934.0 7.456 25
85397.6 446934.0 7.397 25
85397.9 446933.0 6.928 25
85397.8 446933.0 7.582 25
85398.1 446933.0 7.044 25
85397.8 446933.0 7.885 25
85396.4 446934.0 7.416 25
85398.4 446933.0 6.962 26
85398.6 446933.0 7.648 26
85398.1 446933.0 7.721 26
85398.3 446933.0 7.698 26
85398.1 446933.0 7.966 26
85390.6 446936.0 7.446 27
85390.9 446936.0 7.43 27
85391.1 446936.0 7.46 27
85391.4 446936.0 7.456 27
85391.4 446936.0 7.386 27
85391.6 446936.0 7.391 27
85391.6 446936.0 7.427 27
85391.2 446936.0 7.403 27
85390.9 446936.0 7.397 27
85389.2 446935.0 6.569 27
85389.3 446935.0 7.488 27
85389.2 446935.0 6.041 27
85389.3 446935.0 5.523 27
85389.3 446936.0 7.94 27
85389.3 446936.0 7.901 27
85389.4 446936.0 8.058 27
85389.4 446936.0 7.918 27
85389.3 446936.0 7.892 27
85389.7 446936.0 6.495 27
85389.6 446936.0 7.902 27
85389.6 446936.0 7.298 27
85388.6 446936.0 6.337 27
85388.8 446936.0 6.74 27
85388.8 446936.0 6.103 27
85389.3 446937.0 7.36 27
85389.3 446937.0 6.555 27
85389.4 446937.0 7.935 27
85389.0 446937.0 7.066 27
85380.0 446940.0 7.269 28
85380.0 446940.0 7.893 28
85380.2 446940.0 8.153 28
85380.2 446940.0 8.003 28
85380.0 446940.0 8.031 28
85380.1 446940.0 8.002 28
85388.8 446936.0 7.428 29
85388.8 446936.0 7.888 29
85389.0 446936.0 8.268 29
85389.0 446936.0 7.953 29
85389.0 446936.0 7.907 29
85389.0 446936.0 7.903 29
85389.0 446936.0 7.93 29
85388.9 446936.0 8.262 29
85388.4 446937.0 7.401 29
85388.1 446937.0 7.488 29
85387.7 446937.0 7.475 29
85389.0 446937.0 7.688 29
85386.3 446938.0 7.413 29
85386.3 446938.0 7.495 29
85386.4 446938.0 7.408 29
85380.5 446940.0 6.929 30
85380.5 446940.0 8.053 30
85380.5 446940.0 7.631 30
85380.7 446940.0 7.895 30
85380.8 446940.0 6.412 30
85380.8 446940.0 7.165 30
85380.6 446940.0 8.021 30
85380.6 446940.0 7.997 30
85382.2 446941.0 7.374 30
85382.2 446941.0 7.484 30
85382.1 446941.0 7.543 30
85380.0 446940.0 6.614 30
85380.3 446940.0 7.36 30
85380.3 446940.0 6.664 30
85382.8 446939.0 7.532 31
85383.4 446939.0 7.431 31
85383.6 446939.0 7.453 31
85383.9 446939.0 7.498 31
85384.1 446939.0 7.52 31
85384.1 446939.0 7.461 31
85386.0 446938.0 7.487 31
85386.1 446938.0 7.414 31
85384.2 446939.0 7.478 31
85383.9 446939.0 7.442 31
85383.8 446939.0 7.513 31
85383.5 446939.0 7.519 31
85383.1 446939.0 7.513 31
85381.5 446938.0 5.047 31
85381.3 446938.0 4.969 31
85384.1 446937.0 5.003 31
85384.0 446937.0 4.784 31
85384.0 446937.0 4.983 31
85381.7 446938.0 4.843 31
85381.9 446938.0 4.857 31
85381.9 446938.0 5.167 31
85382.2 446938.0 5.118 31
85383.3 446937.0 4.819 31
85383.6 446937.0 4.823 31
85383.6 446937.0 4.777 31
85383.2 446937.0 4.723 31
85382.2 446938.0 5.123 31
85382.2 446938.0 4.955 31
85381.8 446938.0 4.944 31
85380.3 446939.0 8.023 32
85380.5 446939.0 8.011 32
85380.5 446939.0 6.289 32
85380.5 446939.0 7.565 32
85380.9 446938.0 4.809 32
